Financial year,State/territory,School sector,Expenditure item,Total expenditure,Expenditure per student
2020/21,New South Wales,Government,Australian Government,"$2,816,735,000 ","$3,495 "
2020/21,New South Wales,Government,State and territory governments,"$14,849,724,000 ","$18,428 "
2020/21,New South Wales,Government,Total Australian/State/territory government expenditure,"$17,666,459,000 ","$21,923 "
2020/21,New South Wales,All non-government,Australian Government,"$3,935,958,000 ","$9,026 "
2020/21,New South Wales,All non-government,State and territory governments,"$1,433,064,000 ","$3,286 "
2020/21,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$5,369,022,000 ","$12,313 "
2020/21,New South Wales,All,Australian Government,"$6,752,693,000 ","$5,437 "
2020/21,New South Wales,All,State and territory governments,"$16,282,788,000 ","$13,111 "
2020/21,New South Wales,All,Total Australian/State/territory government expenditure,"$23,035,481,000 ","$18,549 "
2020/21,Victoria,Government,Australian Government,"$2,095,534,000 ","$3,256 "
2020/21,Victoria,Government,State and territory governments,"$10,808,543,000 ","$16,792 "
2020/21,Victoria,Government,Total Australian/State/territory government expenditure,"$12,904,077,000 ","$20,047 "
2020/21,Victoria,All non-government,Australian Government,"$3,548,657,000 ","$9,760 "
2020/21,Victoria,All non-government,State and territory governments,"$845,901,000 ","$2,327 "
2020/21,Victoria,All non-government,Total Australian/State/territory government expenditure,"$4,394,558,000 ","$12,087 "
2020/21,Victoria,All,Australian Government,"$5,644,191,000 ","$5,603 "
2020/21,Victoria,All,State and territory governments,"$11,654,443,000 ","$11,570 "
2020/21,Victoria,All,Total Australian/State/territory government expenditure,"$17,298,635,000 ","$17,174 "
2020/21,Queensland,Government,Australian Government,"$2,064,978,000 ","$3,602 "
2020/21,Queensland,Government,State and territory governments,"$9,334,130,000 ","$16,281 "
2020/21,Queensland,Government,Total Australian/State/territory government expenditure,"$11,399,108,000 ","$19,883 "
2020/21,Queensland,All non-government,Australian Government,"$2,891,246,000 ","$10,040 "
2020/21,Queensland,All non-government,State and territory governments,"$925,032,000 ","$3,212 "
2020/21,Queensland,All non-government,Total Australian/State/territory government expenditure,"$3,816,278,000 ","$13,252 "
2020/21,Queensland,All,Australian Government,"$4,956,224,000 ","$5,754 "
2020/21,Queensland,All,State and territory governments,"$10,259,162,000 ","$11,911 "
2020/21,Queensland,All,Total Australian/State/territory government expenditure,"$15,215,386,000 ","$17,666 "
2020/21,South Australia,Government,Australian Government,"$613,503,000 ","$3,509 "
2020/21,South Australia,Government,State and territory governments,"$2,989,995,000 ","$17,103 "
2020/21,South Australia,Government,Total Australian/State/territory government expenditure,"$3,603,498,000 ","$20,612 "
2020/21,South Australia,All non-government,Australian Government,"$801,997,000 ","$8,162 "
2020/21,South Australia,All non-government,State and territory governments,"$304,514,000 ","$3,099 "
2020/21,South Australia,All non-government,Total Australian/State/territory government expenditure,"$1,106,511,000 ","$11,261 "
2020/21,South Australia,All,Australian Government,"$1,415,499,000 ","$5,183 "
2020/21,South Australia,All,State and territory governments,"$3,294,509,000 ","$12,064 "
2020/21,South Australia,All,Total Australian/State/territory government expenditure,"$4,710,009,000 ","$17,247 "
2020/21,Western Australia,Government,Australian Government,"$930,161,000 ","$3,195 "
2020/21,Western Australia,Government,State and territory governments,"$5,191,703,000 ","$17,831 "
2020/21,Western Australia,Government,Total Australian/State/territory government expenditure,"$6,121,864,000 ","$21,026 "
2020/21,Western Australia,All non-government,Australian Government,"$1,270,301,000 ","$8,962 "
2020/21,Western Australia,All non-government,State and territory governments,"$485,119,000 ","$3,423 "
2020/21,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,755,420,000 ","$12,385 "
2020/21,Western Australia,All,Australian Government,"$2,200,463,000 ","$5,083 "
2020/21,Western Australia,All,State and territory governments,"$5,676,822,000 ","$13,113 "
2020/21,Western Australia,All,Total Australian/State/territory government expenditure,"$7,877,284,000 ","$18,196 "
2020/21,Tasmania,Government,Australian Government,"$222,839,000 ","$3,957 "
2020/21,Tasmania,Government,State and territory governments,"$1,002,489,000 ","$17,802 "
2020/21,Tasmania,Government,Total Australian/State/territory government expenditure,"$1,225,328,000 ","$21,759 "
2020/21,Tasmania,All non-government,Australian Government,"$301,365,000 ","$11,893 "
2020/21,Tasmania,All non-government,State and territory governments,"$87,767,000 ","$3,464 "
2020/21,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$389,132,000 ","$15,357 "
2020/21,Tasmania,All,Australian Government,"$524,204,000 ","$6,420 "
2020/21,Tasmania,All,State and territory governments,"$1,090,256,000 ","$13,352 "
2020/21,Tasmania,All,Total Australian/State/territory government expenditure,"$1,614,460,000 ","$19,772 "
2020/21,Northern Territory,Government,Australian Government,"$246,110,000 ","$8,160 "
2020/21,Northern Territory,Government,State and territory governments,"$619,605,000 ","$20,544 "
2020/21,Northern Territory,Government,Total Australian/State/territory government expenditure,"$865,715,000 ","$28,704 "
2020/21,Northern Territory,All non-government,Australian Government,"$148,986,000 ","$14,291 "
2020/21,Northern Territory,All non-government,State and territory governments,"$66,855,000 ","$6,413 "
2020/21,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$215,841,000 ","$20,703 "
2020/21,Northern Territory,All,Australian Government,"$395,096,000 ","$9,735 "
2020/21,Northern Territory,All,State and territory governments,"$686,460,000 ","$16,913 "
2020/21,Northern Territory,All,Total Australian/State/territory government expenditure,"$1,081,556,000 ","$26,648 "
2020/21,Australian Capital Territory,Government,Australian Government,"$131,290,000 ","$2,865 "
2020/21,Australian Capital Territory,Government,State and territory governments,"$969,562,000 ","$21,161 "
2020/21,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$1,100,852,000 ","$24,026 "
2020/21,Australian Capital Territory,All non-government,Australian Government,"$229,157,000 ","$7,938 "
2020/21,Australian Capital Territory,All non-government,State and territory governments,"$71,601,000 ","$2,480 "
2020/21,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$300,758,000 ","$10,418 "
2020/21,Australian Capital Territory,All,Australian Government,"$360,447,000 ","$4,826 "
2020/21,Australian Capital Territory,All,State and territory governments,"$1,041,163,000 ","$13,940 "
2020/21,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,401,610,000 ","$18,766 "
2020/21,Australia,Government,Australian Government,"$9,121,151,000 ","$3,480 "
2020/21,Australia,Government,State and territory governments,"$45,765,750,000 ","$17,460 "
2020/21,Australia,Government,Total Australian/State/territory government expenditure,"$54,886,901,000 ","$20,940 "
2020/21,Australia,All non-government,Australian Government,"$13,127,667,000 ","$9,429 "
2020/21,Australia,All non-government,State and territory governments,"$4,219,853,000 ","$3,031 "
2020/21,Australia,All non-government,Total Australian/State/territory government expenditure,"$17,347,520,000 ","$12,460 "
2020/21,Australia,All,Australian Government,"$22,248,818,000 ","$5,544 "
2020/21,Australia,All,State and territory governments,"$49,985,603,000 ","$12,455 "
2020/21,Australia,All,Total Australian/State/territory government expenditure,"$72,234,421,000 ","$17,998 "
2019/20,New South Wales,Government,Australian Government,"$2,644,686,000 ","$3,275 "
2019/20,New South Wales,Government,State and territory governments,"$14,425,262,000 ","$17,862 "
2019/20,New South Wales,Government,Total Australian/State/territory government expenditure,"$17,069,948,000 ","$21,137 "
2019/20,New South Wales,All non-government,Australian Government,"$4,281,386,000 ","$9,990 "
2019/20,New South Wales,All non-government,State and territory governments,"$1,271,926,000 ","$2,968 "
2019/20,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$5,553,312,000 ","$12,958 "
2019/20,New South Wales,All,Australian Government,"$6,926,072,000 ","$5,603 "
2019/20,New South Wales,All,State and territory governments,"$15,697,188,000 ","$12,698 "
2019/20,New South Wales,All,Total Australian/State/territory government expenditure,"$22,623,260,000 ","$18,301 "
2019/20,Victoria,Government,Australian Government,"$1,964,952,000 ","$3,080 "
2019/20,Victoria,Government,State and territory governments,"$9,943,327,000 ","$15,587 "
2019/20,Victoria,Government,Total Australian/State/territory government expenditure,"$11,908,279,000 ","$18,668 "
2019/20,Victoria,All non-government,Australian Government,"$3,456,030,000 ","$9,622 "
2019/20,Victoria,All non-government,State and territory governments,"$789,972,000 ","$2,199 "
2019/20,Victoria,All non-government,Total Australian/State/territory government expenditure,"$4,246,002,000 ","$11,821 "
2019/20,Victoria,All,Australian Government,"$5,420,982,000 ","$5,437 "
2019/20,Victoria,All,State and territory governments,"$10,733,298,000 ","$10,765 "
2019/20,Victoria,All,Total Australian/State/territory government expenditure,"$16,154,281,000 ","$16,201 "
2019/20,Queensland,Government,Australian Government,"$1,881,712,000 ","$3,323 "
2019/20,Queensland,Government,State and territory governments,"$9,406,399,000 ","$16,609 "
2019/20,Queensland,Government,Total Australian/State/territory government expenditure,"$11,288,111,000 ","$19,932 "
2019/20,Queensland,All non-government,Australian Government,"$2,868,489,000 ","$10,289 "
2019/20,Queensland,All non-government,State and territory governments,"$871,841,000 ","$3,127 "
2019/20,Queensland,All non-government,Total Australian/State/territory government expenditure,"$3,740,330,000 ","$13,417 "
2019/20,Queensland,All,Australian Government,"$4,750,201,000 ","$5,621 "
2019/20,Queensland,All,State and territory governments,"$10,278,240,000 ","$12,162 "
2019/20,Queensland,All,Total Australian/State/territory government expenditure,"$15,028,441,000 ","$17,783 "
2019/20,South Australia,Government,Australian Government,"$577,150,000 ","$3,274 "
2019/20,South Australia,Government,State and territory governments,"$2,914,874,000 ","$16,536 "
2019/20,South Australia,Government,Total Australian/State/territory government expenditure,"$3,492,024,000 ","$19,810 "
2019/20,South Australia,All non-government,Australian Government,"$1,139,768,000 ","$11,886 "
2019/20,South Australia,All non-government,State and territory governments,"$445,219,000 ","$4,643 "
2019/20,South Australia,All non-government,Total Australian/State/territory government expenditure,"$1,584,988,000 ","$16,529 "
2019/20,South Australia,All,Australian Government,"$1,716,918,000 ","$6,308 "
2019/20,South Australia,All,State and territory governments,"$3,360,093,000 ","$12,346 "
2019/20,South Australia,All,Total Australian/State/territory government expenditure,"$5,077,012,000 ","$18,654 "
2019/20,Western Australia,Government,Australian Government,"$834,611,000 ","$2,904 "
2019/20,Western Australia,Government,State and territory governments,"$4,957,113,000 ","$17,250 "
2019/20,Western Australia,Government,Total Australian/State/territory government expenditure,"$5,791,724,000 ","$20,155 "
2019/20,Western Australia,All non-government,Australian Government,"$1,464,836,000 ","$10,531 "
2019/20,Western Australia,All non-government,State and territory governments,"$481,836,000 ","$3,464 "
2019/20,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,946,672,000 ","$13,995 "
2019/20,Western Australia,All,Australian Government,"$2,299,447,000 ","$5,392 "
2019/20,Western Australia,All,State and territory governments,"$5,438,949,000 ","$12,754 "
2019/20,Western Australia,All,Total Australian/State/territory government expenditure,"$7,738,396,000 ","$18,145 "
2019/20,Tasmania,Government,Australian Government,"$211,119,000 ","$3,716 "
2019/20,Tasmania,Government,State and territory governments,"$970,920,000 ","$17,091 "
2019/20,Tasmania,Government,Total Australian/State/territory government expenditure,"$1,182,039,000 ","$20,808 "
2019/20,Tasmania,All non-government,Australian Government,"$284,290,000 ","$11,452 "
2019/20,Tasmania,All non-government,State and territory governments,"$83,577,000 ","$3,367 "
2019/20,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$367,867,000 ","$14,819 "
2019/20,Tasmania,All,Australian Government,"$495,409,000 ","$6,069 "
2019/20,Tasmania,All,State and territory governments,"$1,054,497,000 ","$12,918 "
2019/20,Tasmania,All,Total Australian/State/territory government expenditure,"$1,549,906,000 ","$18,987 "
2019/20,Northern Territory,Government,Australian Government,"$231,559,000 ","$7,697 "
2019/20,Northern Territory,Government,State and territory governments,"$617,949,000 ","$20,540 "
2019/20,Northern Territory,Government,Total Australian/State/territory government expenditure,"$849,508,000 ","$28,237 "
2019/20,Northern Territory,All non-government,Australian Government,"$206,389,000 ","$19,563 "
2019/20,Northern Territory,All non-government,State and territory governments,"$64,234,000 ","$6,089 "
2019/20,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$270,623,000 ","$25,651 "
2019/20,Northern Territory,All,Australian Government,"$437,948,000 ","$10,777 "
2019/20,Northern Territory,All,State and territory governments,"$682,183,000 ","$16,788 "
2019/20,Northern Territory,All,Total Australian/State/territory government expenditure,"$1,120,131,000 ","$27,565 "
2019/20,Australian Capital Territory,Government,Australian Government,"$118,557,000 ","$2,642 "
2019/20,Australian Capital Territory,Government,State and territory governments,"$920,728,000 ","$20,517 "
2019/20,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$1,039,285,000 ","$23,159 "
2019/20,Australian Capital Territory,All non-government,Australian Government,"$239,327,000 ","$8,439 "
2019/20,Australian Capital Territory,All non-government,State and territory governments,"$71,393,000 ","$2,517 "
2019/20,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$310,720,000 ","$10,956 "
2019/20,Australian Capital Territory,All,Australian Government,"$357,884,000 ","$4,887 "
2019/20,Australian Capital Territory,All,State and territory governments,"$992,121,000 ","$13,547 "
2019/20,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,350,005,000 ","$18,433 "
2019/20,Australia,Government,Australian Government,"$8,464,347,000 ","$3,246 "
2019/20,Australia,Government,State and territory governments,"$44,156,571,000 ","$16,936 "
2019/20,Australia,Government,Total Australian/State/territory government expenditure,"$52,620,918,000 ","$20,182 "
2019/20,Australia,All non-government,Australian Government,"$13,940,514,000 ","$10,211 "
2019/20,Australia,All non-government,State and territory governments,"$4,079,999,000 ","$2,988 "
2019/20,Australia,All non-government,Total Australian/State/territory government expenditure,"$18,020,513,000 ","$13,199 "
2019/20,Australia,All,Australian Government,"$22,404,861,000 ","$5,640 "
2019/20,Australia,All,State and territory governments,"$48,236,570,000 ","$12,143 "
2019/20,Australia,All,Total Australian/State/territory government expenditure,"$70,641,431,000 ","$17,783 "
2018/19,New South Wales,Government,Australian Government,"$2,434,378,000 ","$3,036 "
2018/19,New South Wales,Government,State and territory governments,"$13,949,010,000 ","$17,399 "
2018/19,New South Wales,Government,Total Australian/State/territory government expenditure,"$16,383,388,000 ","$20,436 "
2018/19,New South Wales,All non-government,Australian Government,"$3,708,116,000 ","$8,759 "
2018/19,New South Wales,All non-government,State and territory governments,"$1,257,943,000 ","$2,972 "
2018/19,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$4,966,059,000 ","$11,731 "
2018/19,New South Wales,All,Australian Government,"$6,142,494,000 ","$5,014 "
2018/19,New South Wales,All,State and territory governments,"$15,206,953,000 ","$12,413 "
2018/19,New South Wales,All,Total Australian/State/territory government expenditure,"$21,349,447,000 ","$17,428 "
2018/19,Victoria,Government,Australian Government,"$1,777,923,000 ","$2,840 "
2018/19,Victoria,Government,State and territory governments,"$9,475,960,000 ","$15,134 "
2018/19,Victoria,Government,Total Australian/State/territory government expenditure,"$11,253,883,000 ","$17,974 "
2018/19,Victoria,All non-government,Australian Government,"$3,129,852,000 ","$8,834 "
2018/19,Victoria,All non-government,State and territory governments,"$752,409,000 ","$2,124 "
2018/19,Victoria,All non-government,Total Australian/State/territory government expenditure,"$3,882,261,000 ","$10,958 "
2018/19,Victoria,All,Australian Government,"$4,907,775,000 ","$5,006 "
2018/19,Victoria,All,State and territory governments,"$10,228,369,000 ","$10,433 "
2018/19,Victoria,All,Total Australian/State/territory government expenditure,"$15,136,144,000 ","$15,438 "
2018/19,Queensland,Government,Australian Government,"$1,748,392,000 ","$3,146 "
2018/19,Queensland,Government,State and territory governments,"$8,674,011,000 ","$15,608 "
2018/19,Queensland,Government,Total Australian/State/territory government expenditure,"$10,422,403,000 ","$18,754 "
2018/19,Queensland,All non-government,Australian Government,"$2,517,086,000 ","$9,296 "
2018/19,Queensland,All non-government,State and territory governments,"$815,421,000 ","$3,011 "
2018/19,Queensland,All non-government,Total Australian/State/territory government expenditure,"$3,332,507,000 ","$12,307 "
2018/19,Queensland,All,Australian Government,"$4,265,478,000 ","$5,161 "
2018/19,Queensland,All,State and territory governments,"$9,489,432,000 ","$11,481 "
2018/19,Queensland,All,Total Australian/State/territory government expenditure,"$13,754,910,000 ","$16,642 "
2018/19,South Australia,Government,Australian Government,"$524,469,000 ","$2,993 "
2018/19,South Australia,Government,State and territory governments,"$2,804,361,000 ","$16,001 "
2018/19,South Australia,Government,Total Australian/State/territory government expenditure,"$3,328,830,000 ","$18,994 "
2018/19,South Australia,All non-government,Australian Government,"$873,290,000 ","$9,218 "
2018/19,South Australia,All non-government,State and territory governments,"$246,537,000 ","$2,602 "
2018/19,South Australia,All non-government,Total Australian/State/territory government expenditure,"$1,119,827,000 ","$11,821 "
2018/19,South Australia,All,Australian Government,"$1,397,759,000 ","$5,177 "
2018/19,South Australia,All,State and territory governments,"$3,050,898,000 ","$11,300 "
2018/19,South Australia,All,Total Australian/State/territory government expenditure,"$4,448,657,000 ","$16,477 "
2018/19,Western Australia,Government,Australian Government,"$744,622,000 ","$2,634 "
2018/19,Western Australia,Government,State and territory governments,"$4,708,237,000 ","$16,652 "
2018/19,Western Australia,Government,Total Australian/State/territory government expenditure,"$5,452,859,000 ","$19,286 "
2018/19,Western Australia,All non-government,Australian Government,"$1,221,799,000 ","$8,864 "
2018/19,Western Australia,All non-government,State and territory governments,"$497,258,000 ","$3,607 "
2018/19,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,719,057,000 ","$12,471 "
2018/19,Western Australia,All,Australian Government,"$1,966,421,000 ","$4,675 "
2018/19,Western Australia,All,State and territory governments,"$5,205,495,000 ","$12,377 "
2018/19,Western Australia,All,Total Australian/State/territory government expenditure,"$7,171,916,000 ","$17,052 "
2018/19,Tasmania,Government,Australian Government,"$201,222,000 ","$3,542 "
2018/19,Tasmania,Government,State and territory governments,"$907,543,000 ","$15,975 "
2018/19,Tasmania,Government,Total Australian/State/territory government expenditure,"$1,108,765,000 ","$19,517 "
2018/19,Tasmania,All non-government,Australian Government,"$257,881,000 ","$10,550 "
2018/19,Tasmania,All non-government,State and territory governments,"$79,708,000 ","$3,261 "
2018/19,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$337,589,000 ","$13,810 "
2018/19,Tasmania,All,Australian Government,"$459,103,000 ","$5,650 "
2018/19,Tasmania,All,State and territory governments,"$987,251,000 ","$12,150 "
2018/19,Tasmania,All,Total Australian/State/territory government expenditure,"$1,446,354,000 ","$17,800 "
2018/19,Northern Territory,Government,Australian Government,"$219,507,000 ","$7,382 "
2018/19,Northern Territory,Government,State and territory governments,"$571,318,000 ","$19,213 "
2018/19,Northern Territory,Government,Total Australian/State/territory government expenditure,"$790,825,000 ","$26,595 "
2018/19,Northern Territory,All non-government,Australian Government,"$169,401,000 ","$15,663 "
2018/19,Northern Territory,All non-government,State and territory governments,"$64,901,000 ","$6,001 "
2018/19,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$234,302,000 ","$21,664 "
2018/19,Northern Territory,All,Australian Government,"$388,908,000 ","$9,590 "
2018/19,Northern Territory,All,State and territory governments,"$636,219,000 ","$15,689 "
2018/19,Northern Territory,All,Total Australian/State/territory government expenditure,"$1,025,127,000 ","$25,280 "
2018/19,Australian Capital Territory,Government,Australian Government,"$107,704,000 ","$2,465 "
2018/19,Australian Capital Territory,Government,State and territory governments,"$859,702,000 ","$19,673 "
2018/19,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$967,406,000 ","$22,137 "
2018/19,Australian Capital Territory,All non-government,Australian Government,"$226,624,000 ","$8,112 "
2018/19,Australian Capital Territory,All non-government,State and territory governments,"$71,490,000 ","$2,559 "
2018/19,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$298,114,000 ","$10,671 "
2018/19,Australian Capital Territory,All,Australian Government,"$334,328,000 ","$4,667 "
2018/19,Australian Capital Territory,All,State and territory governments,"$931,192,000 ","$12,999 "
2018/19,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,265,520,000 ","$17,666 "
2018/19,Australia,Government,Australian Government,"$7,758,217,000 ","$3,017 "
2018/19,Australia,Government,State and territory governments,"$41,950,142,000 ","$16,312 "
2018/19,Australia,Government,Total Australian/State/territory government expenditure,"$49,708,359,000 ","$19,328 "
2018/19,Australia,All non-government,Australian Government,"$12,104,049,000 ","$9,005 "
2018/19,Australia,All non-government,State and territory governments,"$3,785,666,000 ","$2,816 "
2018/19,Australia,All non-government,Total Australian/State/territory government expenditure,"$15,889,715,000 ","$11,821 "
2018/19,Australia,All,Australian Government,"$19,862,266,000 ","$5,072 "
2018/19,Australia,All,State and territory governments,"$45,735,808,000 ","$11,679 "
2018/19,Australia,All,Total Australian/State/territory government expenditure,"$65,598,074,000 ","$16,751 "
2017/18,New South Wales,Government,Australian Government,"$2,277,883,000 ","$2,867 "
2017/18,New South Wales,Government,State and territory governments,"$12,790,459,000 ","$16,098 "
2017/18,New South Wales,Government,Total Australian/State/territory government expenditure,"$15,068,342,000 ","$18,965 "
2017/18,New South Wales,All non-government,Australian Government,"$3,466,319,000 ","$8,272 "
